Experiment,Location,Structure,Position,Species,Type,Origin,Comments,Date_0,Length_0,Width1_0,Width2_0,EV_0,Condition_0,Cause_0,SGR_0,Comments_0,Date_1,Length_1,Width1_1,Width2_1,EV_1,Condition_1,Cause_1,SGR_1,Comments_1,Date_2,Length_2,Width1_2,Width2_2,EV_2,Condition_2,Cause_2,SGR_2,Comments_2,Date_3,Length_3,Width1_3,Width2_3,EV_3,Condition_3,Cause_3,SGR_3,Comments_3,Date_4,Length_4,Width1_4,Width2_4,EV_4,Condition_4,Cause_4,SGR_4,Comments_4,Date_5,Length_5,Width1_5,Width2_5,EV_5,Condition_5,Cause_5,SGR_5,Comments_5,Date_6,Length_6,Width1_6,Width2_6,EV_6,Condition_6,Cause_6,SGR_6,Comments_6,Date_7,Length_7,Width1_7,Width2_7,EV_7,Condition_7,Cause_7,SGR_7,Comments_7,Date_8,Length_8,Width1_8,Width2_8,EV_8,Condition_8,Cause_8,SGR_8,Comments_8,Date_9,Length_9,Width1_9,Width2_9,EV_9,Condition_9,Cause_9,SGR_9,Comments_9,Date_10,Length_10,Width1_10,Width2_10,EV_10,Condition_10,Cause_10,SGR_10,Comments_10,Date_11,Length_11,Width1_11,Width2_11,EV_11,Condition_11,Cause_11,SGR_11,Comments_11,Date_12,Length_12,Width1_12,Width2_12,EV_12,Condition_12,Cause_12,SGR_12,Comments_12
Spatial variation (Emilia),Dolphin Point,2,5,Acropora verweyi,Mini nursery,,,21-Nov-17,4.5,1.9,1.7,12,100,,,,13-Mar-18,5.3,2.2,1.8,17,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,2,6,Acropora verweyi,Mini nursery,,,21-Nov-17,5,1.9,1.7,13,100,,,,13-Mar-18,,,,,0,,,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,2,7,Acropora verweyi,Mini nursery,,,21-Nov-17,4.3,2.6,1.9,17,100,,,,13-Mar-18,5.5,3.1,2.6,35,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,2,8,Acropora verweyi,Mini nursery,,,21-Nov-17,4.1,2.2,1.5,11,100,,,,13-Mar-18,5,2.1,1.7,14,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,3,1,Acropora verweyi,Mini nursery,,,21-Nov-17,5,4,2.5,41,100,,,,13-Mar-18,7.2,5.1,3.3,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,3,2,Acropora verweyi,Mini nursery,,,21-Nov-17,4.6,1.4,1.4,7,100,,,,13-Mar-18,7.7,3,2.7,49,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,3,3,Acropora verweyi,Mini nursery,,,21-Nov-17,3.8,1.3,1.3,5,100,,,,13-Mar-18,5,2.2,2.3,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,3,4,Acropora verweyi,Mini nursery,,,21-Nov-17,4.8,2,2.2,17,100,,,,13-Mar-18,8.4,4.4,3.7,108,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,3,5,Acropora verweyi,Mini nursery,,,21-Nov-17,4.1,1.4,2,9,95,,,,13-Mar-18,6.5,3.1,2.6,41,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,3,6,Acropora verweyi,Mini nursery,,,21-Nov-17,4.3,2.5,1.6,14,100,,,,13-Mar-18,7.7,4.1,3.4,85,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,3,7,Acropora verweyi,Mini nursery,,,21-Nov-17,5.7,3.1,2.2,31,100,,,,13-Mar-18,7.7,3.8,3,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,3,8,Acropora verweyi,Mini nursery,,,21-Nov-17,5.1,1,1.3,5,100,,,,13-Mar-18,7.1,3.2,2.3,42,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,4,1,Acropora verweyi,Mini nursery,,,21-Nov-17,4.4,1.3,1.7,8,100,,,,13-Mar-18,6.2,2.2,2,21,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,4,2,Acropora verweyi,Mini nursery,,,21-Nov-17,4.6,2.2,1.6,13,100,,,,13-Mar-18,5.6,2.8,2.2,27,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,4,3,Acropora verweyi,Mini nursery,,,21-Nov-17,4.7,1.9,1.6,11,100,,,,13-Mar-18,5.8,2.3,2.1,22,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,4,4,Acropora verweyi,Mini nursery,,,21-Nov-17,5.1,1.7,1.4,10,100,,,,13-Mar-18,6.4,2.1,2,21,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,4,5,Acropora verweyi,Mini nursery,,,21-Nov-17,4.2,1.9,1.9,12,100,,,,13-Mar-18,5.8,2.3,2.3,24,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,4,6,Acropora verweyi,Mini nursery,,,21-Nov-17,3.9,1.6,1,5,100,,,,13-Mar-18,4.9,2.3,1.9,17,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,4,7,Acropora verweyi,Mini nursery,,,21-Nov-17,4.3,2.5,1.9,16,100,,,,13-Mar-18,5.9,2.8,2.4,31,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,4,8,Acropora verweyi,Mini nursery,,,21-Nov-17,6,3.3,3.2,50,100,,,,13-Mar-18,8.3,4.5,3.5,104,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,5,1,Acropora verweyi,Mini nursery,,,21-Nov-17,5.2,1.9,1.6,13,100,,,,13-Mar-18,,,,,0,,,dead: structure fell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,5,2,Acropora verweyi,Mini nursery,,,21-Nov-17,4.3,2,1.8,12,100,,,,13-Mar-18,6.8,3.4,2.6,48,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,5,3,Acropora verweyi,Mini nursery,,,21-Nov-17,4.5,3.1,2,23,100,,,,13-Mar-18,3.8,3.2,2.5,24,80,,,Coloured: structure fell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,5,4,Acropora verweyi,Mini nursery,,,21-Nov-17,5.1,2.4,1.9,19,100,,,,13-Mar-18,7.7,3.3,2.9,58,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,5,5,Acropora verweyi,Mini nursery,,,21-Nov-17,3.9,1.2,1.3,5,100,,,,13-Mar-18,,,,,0,,,dead: structure fell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,5,6,Acropora verweyi,Mini nursery,,,21-Nov-17,5,2.4,1.9,18,100,,,,13-Mar-18,,,,,0,,,dead: structure fell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,5,7,Acropora verweyi,Mini nursery,,,21-Nov-17,4.8,1.7,1.3,8,100,,,,13-Mar-18,,,,,0,,,dead: structure fell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,5,8,Acropora verweyi,Mini nursery,,,21-Nov-17,5.7,2.9,2.3,30,100,,,,13-Mar-18,,,,,0,,,dead: structure fell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,6,1,Acropora verweyi,Mini nursery,,,21-Nov-17,4,1.3,1.4,6,100,,,,13-Mar-18,,,,,0,,,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,6,2,Acropora verweyi,Mini nursery,,,21-Nov-17,5.2,2.7,2,23,100,,,,13-Mar-18,8.4,3.8,3.7,93,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,6,3,Acropora verweyi,Mini nursery,,,21-Nov-17,3.9,1.7,1.4,7,100,,,,13-Mar-18,5.6,2.6,2.2,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,6,4,Acropora verweyi,Mini nursery,,,21-Nov-17,4.2,3,2.5,25,100,,,,13-Mar-18,,,,,0,,,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,6,5,Acropora verweyi,Mini nursery,,,21-Nov-17,4.7,2.2,1.8,15,100,,,,13-Mar-18,6.7,3,2.8,44,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,6,6,Acropora verweyi,Mini nursery,,,21-Nov-17,4.1,2.5,1.5,13,100,,,,13-Mar-18,6,3.1,2.3,34,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,6,7,Acropora verweyi,Mini nursery,,,21-Nov-17,4.2,2.5,2,17,100,,,,13-Mar-18,5.9,2.8,2.4,31,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,6,8,Acropora verweyi,Mini nursery,,,21-Nov-17,4.2,2.5,2.1,17,100,,,,13-Mar-18,6.6,2.8,2.6,38,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,7,1,Acropora verweyi,Mini nursery,,,21-Nov-17,4.7,4.6,3.4,59,100,,,,13-Mar-18,5.4,4.6,2.7,57,85,,,Coloured: structure fell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,7,2,Acropora verweyi,Mini nursery,,,21-Nov-17,6,3.6,1.7,33,100,,,,13-Mar-18,8.7,4.5,2.7,89,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,7,3,Acropora verweyi,Mini nursery,,,21-Nov-17,3.5,1.7,1.7,8,100,,,,13-Mar-18,3.7,1.8,2,10,60,,,Coloured: structure fell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,7,4,Acropora verweyi,Mini nursery,,,21-Nov-17,3.5,1.3,1.4,5,100,,,,13-Mar-18,3.5,1.3,1.3,5,50,,,Coloured: structure fell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,7,5,Acropora verweyi,Mini nursery,,,21-Nov-17,4.3,2.4,1.5,13,100,,,,13-Mar-18,5.1,3,2.5,30,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,7,6,Acropora verweyi,Mini nursery,,,21-Nov-17,3.6,1.6,1.4,6,100,,,,13-Mar-18,4.8,1.9,1.9,13,50,,,Coloured: structure fell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,7,7,Acropora verweyi,Mini nursery,,,21-Nov-17,4.6,1.8,1.5,10,100,,,,13-Mar-18,6,2.5,1.9,23,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,7,8,Acropora verweyi,Mini nursery,,,21-Nov-17,4.1,1.9,1.4,9,100,,,,13-Mar-18,6.3,3,2,31,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,8,1,Acropora verweyi,Mini nursery,,,21-Nov-17,4.2,1.6,1.2,6,100,,,,13-Mar-18,,,,,0,,,Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,8,2,Acropora verweyi,Mini nursery,,,21-Nov-17,4.8,1.6,1.7,10,100,,,,13-Mar-18,6.3,2.9,2.6,37,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,8,3,Acropora verweyi,Mini nursery,,,21-Nov-17,5.1,2.7,2.2,24,100,,,,13-Mar-18,4.5,2.9,2.5,26,75,,,Coloured: structure fell?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,8,4,Acropora verweyi,Mini nursery,,,21-Nov-17,5,2.8,2.4,27,100,,,,13-Mar-18,7.2,3,2.3,40,85,,,Coloured: structure fell?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,8,5,Acropora verweyi,Mini nursery,,,21-Nov-17,4.2,2.4,2.6,21,100,,,,13-Mar-18,6.1,3.5,2.8,48,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,8,6,Acropora verweyi,Mini nursery,,,21-Nov-17,5.4,2,1.8,15,100,,,,13-Mar-18,7.8,3.1,2.8,53,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,8,7,Acropora verweyi,Mini nursery,,,21-Nov-17,4.9,2.4,1.6,15,100,,,,13-Mar-18,6.3,2.9,2.3,33,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial variation (Emilia),Dolphin Point,8,8,Acropora verweyi,Mini nursery,,,21-Nov-17,4.2,2.3,1.2,10,100,,,,13-Mar-18,5.8,3.5,2.5,40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
